The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/boxFilter/16825064445_a3b7876d97_b_boxFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.06.tiff, was processed into ../data/boxFilter/4.2.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.07.tiff, was processed into ../data/boxFilter/4.2.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.09.tiff, was processed into ../data/boxFilter/5.1.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.10.tiff, was processed into ../data/boxFilter/5.1.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.11.tiff, was processed into ../data/boxFilter/5.1.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.12.tiff, was processed into ../data/boxFilter/5.1.12_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.13.tiff, was processed into ../data/boxFilter/5.1.13_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.14.tiff, was processed into ../data/boxFilter/5.1.14_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.08.tiff, was processed into ../data/boxFilter/5.2.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.09.tiff, was processed into ../data/boxFilter/5.2.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.10.tiff, was processed into ../data/boxFilter/5.2.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.3.01.tiff, was processed into ../data/boxFilter/5.3.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.3.02.tiff, was processed into ../data/boxFilter/5.3.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5897751499_e30be22c5a_b.jpg, was processed into ../data/boxFilter/5897751499_e30be22c5a_b_boxFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.01.tiff, was processed into ../data/boxFilter/6.1.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.02.tiff, was processed into ../data/boxFilter/6.1.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.03.tiff, was processed into ../data/boxFilter/6.1.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.04.tiff, was processed into ../data/boxFilter/6.1.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.05.tiff, was processed into ../data/boxFilter/6.1.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.06.tiff, was processed into ../data/boxFilter/6.1.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.07.tiff, was processed into ../data/boxFilter/6.1.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.08.tiff, was processed into ../data/boxFilter/6.1.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.09.tiff, was processed into ../data/boxFilter/6.1.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.10.tiff, was processed into ../data/boxFilter/6.1.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.11.tiff, was processed into ../data/boxFilter/6.1.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.12.tiff, was processed into ../data/boxFilter/6.1.12_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.13.tiff, was processed into ../data/boxFilter/6.1.13_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.14.tiff, was processed into ../data/boxFilter/6.1.14_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.15.tiff, was processed into ../data/boxFilter/6.1.15_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.16.tiff, was processed into ../data/boxFilter/6.1.16_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.01.tiff, was processed into ../data/boxFilter/6.2.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.02.tiff, was processed into ../data/boxFilter/6.2.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.03.tiff, was processed into ../data/boxFilter/6.2.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.04.tiff, was processed into ../data/boxFilter/6.2.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.05.tiff, was processed into ../data/boxFilter/6.2.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.06.tiff, was processed into ../data/boxFilter/6.2.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.07.tiff, was processed into ../data/boxFilter/6.2.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.08.tiff, was processed into ../data/boxFilter/6.2.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.09.tiff, was processed into ../data/boxFilter/6.2.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.10.tiff, was processed into ../data/boxFilter/6.2.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.11.tiff, was processed into ../data/boxFilter/6.2.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.12.tiff, was processed into ../data/boxFilter/6.2.12_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.13.tiff, was processed into ../data/boxFilter/6.2.13_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.14.tiff, was processed into ../data/boxFilter/6.2.14_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.15.tiff, was processed into ../data/boxFilter/6.2.15_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.16.tiff, was processed into ../data/boxFilter/6.2.16_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.17.tiff, was processed into ../data/boxFilter/6.2.17_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.18.tiff, was processed into ../data/boxFilter/6.2.18_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.19.tiff, was processed into ../data/boxFilter/6.2.19_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.20.tiff, was processed into ../data/boxFilter/6.2.20_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.21.tiff, was processed into ../data/boxFilter/6.2.21_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.22.tiff, was processed into ../data/boxFilter/6.2.22_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.23.tiff, was processed into ../data/boxFilter/6.2.23_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.24.tiff, was processed into ../data/boxFilter/6.2.24_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.25.tiff, was processed into ../data/boxFilter/6.2.25_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.26.tiff, was processed into ../data/boxFilter/6.2.26_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.27.tiff, was processed into ../data/boxFilter/6.2.27_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.28.tiff, was processed into ../data/boxFilter/6.2.28_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.29.tiff, was processed into ../data/boxFilter/6.2.29_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.30.tiff, was processed into ../data/boxFilter/6.2.30_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.31.tiff, was processed into ../data/boxFilter/6.2.31_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.32.tiff, was processed into ../data/boxFilter/6.2.32_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.01.tiff, was processed into ../data/boxFilter/6.3.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.02.tiff, was processed into ../data/boxFilter/6.3.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.03.tiff, was processed into ../data/boxFilter/6.3.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.04.tiff, was processed into ../data/boxFilter/6.3.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.05.tiff, was processed into ../data/boxFilter/6.3.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.06.tiff, was processed into ../data/boxFilter/6.3.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.07.tiff, was processed into ../data/boxFilter/6.3.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.08.tiff, was processed into ../data/boxFilter/6.3.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.09.tiff, was processed into ../data/boxFilter/6.3.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.10.tiff, was processed into ../data/boxFilter/6.3.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.11.tiff, was processed into ../data/boxFilter/6.3.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.01.tiff, was processed into ../data/boxFilter/7.1.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.02.tiff, was processed into ../data/boxFilter/7.1.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.03.tiff, was processed into ../data/boxFilter/7.1.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.04.tiff, was processed into ../data/boxFilter/7.1.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.05.tiff, was processed into ../data/boxFilter/7.1.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.06.tiff, was processed into ../data/boxFilter/7.1.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.07.tiff, was processed into ../data/boxFilter/7.1.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.08.tiff, was processed into ../data/boxFilter/7.1.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.09.tiff, was processed into ../data/boxFilter/7.1.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.10.tiff, was processed into ../data/boxFilter/7.1.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.2.01.tiff, was processed into ../data/boxFilter/7.2.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, boat.512.tiff, was processed into ../data/boxFilter/boat.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building1.png, was processed into ../data/boxFilter/building1_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building2.png, was processed into ../data/boxFilter/building2_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building3.png, was processed into ../data/boxFilter/building3_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, gray21.512.tiff, was processed into ../data/boxFilter/gray21.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.bmp, was processed into ../data/boxFilter/grey-sloth_boxFilter.bmp, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.pgm, was processed into ../data/boxFilter/grey-sloth_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.png, was processed into ../data/boxFilter/grey-sloth_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, house.tiff, was processed into ../data/boxFilter/house_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, Lena.pgm, was processed into ../data/boxFilter/Lena_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion01.512.tiff, was processed into ../data/boxFilter/motion01.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion02.512.tiff, was processed into ../data/boxFilter/motion02.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion03.512.tiff, was processed into ../data/boxFilter/motion03.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion04.512.tiff, was processed into ../data/boxFilter/motion04.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion05.512.tiff, was processed into ../data/boxFilter/motion05.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion06.512.tiff, was processed into ../data/boxFilter/motion06.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion07.512.tiff, was processed into ../data/boxFilter/motion07.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion08.512.tiff, was processed into ../data/boxFilter/motion08.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion09.512.tiff, was processed into ../data/boxFilter/motion09.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion10.512.tiff, was processed into ../data/boxFilter/motion10.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, ruler.512.tiff, was processed into ../data/boxFilter/ruler.512_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.pgm, was processed into ../data/boxFilter/sloth_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.png, was processed into ../data/boxFilter/sloth_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, th.jpeg, was processed into ../data/boxFilter/th_boxFilter.jpeg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, wash-ir.tiff, was processed into ../data/boxFilter/wash-ir_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
