The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/gaussFilter/16825064445_a3b7876d97_b_gaussFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.12.tiff, was processed into ../data/gaussFilter/2.2.12_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.13.tiff, was processed into ../data/gaussFilter/2.2.13_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.14.tiff, was processed into ../data/gaussFilter/2.2.14_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.15.tiff, was processed into ../data/gaussFilter/2.2.15_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.16.tiff, was processed into ../data/gaussFilter/2.2.16_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.17.tiff, was processed into ../data/gaussFilter/2.2.17_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.18.tiff, was processed into ../data/gaussFilter/2.2.18_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.19.tiff, was processed into ../data/gaussFilter/2.2.19_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.20.tiff, was processed into ../data/gaussFilter/2.2.20_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.21.tiff, was processed into ../data/gaussFilter/2.2.21_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.22.tiff, was processed into ../data/gaussFilter/2.2.22_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.23.tiff, was processed into ../data/gaussFilter/2.2.23_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.24.tiff, was processed into ../data/gaussFilter/2.2.24_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 3.2.25.tiff, was processed into ../data/gaussFilter/3.2.25_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.01.tiff, was processed into ../data/gaussFilter/4.1.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.02.tiff, was processed into ../data/gaussFilter/4.1.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.03.tiff, was processed into ../data/gaussFilter/4.1.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.04.tiff, was processed into ../data/gaussFilter/4.1.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.05.tiff, was processed into ../data/gaussFilter/4.1.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.06.tiff, was processed into ../data/gaussFilter/4.1.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.07.tiff, was processed into ../data/gaussFilter/4.1.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.08.tiff, was processed into ../data/gaussFilter/4.1.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.01.tiff, was processed into ../data/gaussFilter/4.2.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.03.tiff, was processed into ../data/gaussFilter/4.2.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.05.tiff, was processed into ../data/gaussFilter/4.2.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.06.tiff, was processed into ../data/gaussFilter/4.2.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.07.tiff, was processed into ../data/gaussFilter/4.2.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.09.tiff, was processed into ../data/gaussFilter/5.1.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.10.tiff, was processed into ../data/gaussFilter/5.1.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.11.tiff, was processed into ../data/gaussFilter/5.1.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.12.tiff, was processed into ../data/gaussFilter/5.1.12_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.13.tiff, was processed into ../data/gaussFilter/5.1.13_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.1.14.tiff, was processed into ../data/gaussFilter/5.1.14_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.08.tiff, was processed into ../data/gaussFilter/5.2.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.09.tiff, was processed into ../data/gaussFilter/5.2.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.2.10.tiff, was processed into ../data/gaussFilter/5.2.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.3.01.tiff, was processed into ../data/gaussFilter/5.3.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5.3.02.tiff, was processed into ../data/gaussFilter/5.3.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 5897751499_e30be22c5a_b.jpg, was processed into ../data/gaussFilter/5897751499_e30be22c5a_b_gaussFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.01.tiff, was processed into ../data/gaussFilter/6.1.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.02.tiff, was processed into ../data/gaussFilter/6.1.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.03.tiff, was processed into ../data/gaussFilter/6.1.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.04.tiff, was processed into ../data/gaussFilter/6.1.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.05.tiff, was processed into ../data/gaussFilter/6.1.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.06.tiff, was processed into ../data/gaussFilter/6.1.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.07.tiff, was processed into ../data/gaussFilter/6.1.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.08.tiff, was processed into ../data/gaussFilter/6.1.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.09.tiff, was processed into ../data/gaussFilter/6.1.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.10.tiff, was processed into ../data/gaussFilter/6.1.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.11.tiff, was processed into ../data/gaussFilter/6.1.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.12.tiff, was processed into ../data/gaussFilter/6.1.12_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.13.tiff, was processed into ../data/gaussFilter/6.1.13_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.14.tiff, was processed into ../data/gaussFilter/6.1.14_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.15.tiff, was processed into ../data/gaussFilter/6.1.15_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.1.16.tiff, was processed into ../data/gaussFilter/6.1.16_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.01.tiff, was processed into ../data/gaussFilter/6.2.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.02.tiff, was processed into ../data/gaussFilter/6.2.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.03.tiff, was processed into ../data/gaussFilter/6.2.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.04.tiff, was processed into ../data/gaussFilter/6.2.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.05.tiff, was processed into ../data/gaussFilter/6.2.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.06.tiff, was processed into ../data/gaussFilter/6.2.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.07.tiff, was processed into ../data/gaussFilter/6.2.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.08.tiff, was processed into ../data/gaussFilter/6.2.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.09.tiff, was processed into ../data/gaussFilter/6.2.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.10.tiff, was processed into ../data/gaussFilter/6.2.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.11.tiff, was processed into ../data/gaussFilter/6.2.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.12.tiff, was processed into ../data/gaussFilter/6.2.12_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.13.tiff, was processed into ../data/gaussFilter/6.2.13_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.14.tiff, was processed into ../data/gaussFilter/6.2.14_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.15.tiff, was processed into ../data/gaussFilter/6.2.15_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.16.tiff, was processed into ../data/gaussFilter/6.2.16_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.17.tiff, was processed into ../data/gaussFilter/6.2.17_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.18.tiff, was processed into ../data/gaussFilter/6.2.18_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.19.tiff, was processed into ../data/gaussFilter/6.2.19_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.20.tiff, was processed into ../data/gaussFilter/6.2.20_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.21.tiff, was processed into ../data/gaussFilter/6.2.21_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.22.tiff, was processed into ../data/gaussFilter/6.2.22_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.23.tiff, was processed into ../data/gaussFilter/6.2.23_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.24.tiff, was processed into ../data/gaussFilter/6.2.24_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.25.tiff, was processed into ../data/gaussFilter/6.2.25_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.26.tiff, was processed into ../data/gaussFilter/6.2.26_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.27.tiff, was processed into ../data/gaussFilter/6.2.27_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.28.tiff, was processed into ../data/gaussFilter/6.2.28_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.29.tiff, was processed into ../data/gaussFilter/6.2.29_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.30.tiff, was processed into ../data/gaussFilter/6.2.30_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.31.tiff, was processed into ../data/gaussFilter/6.2.31_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.2.32.tiff, was processed into ../data/gaussFilter/6.2.32_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.01.tiff, was processed into ../data/gaussFilter/6.3.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.02.tiff, was processed into ../data/gaussFilter/6.3.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.03.tiff, was processed into ../data/gaussFilter/6.3.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.04.tiff, was processed into ../data/gaussFilter/6.3.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.05.tiff, was processed into ../data/gaussFilter/6.3.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.06.tiff, was processed into ../data/gaussFilter/6.3.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.07.tiff, was processed into ../data/gaussFilter/6.3.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.08.tiff, was processed into ../data/gaussFilter/6.3.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.09.tiff, was processed into ../data/gaussFilter/6.3.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.10.tiff, was processed into ../data/gaussFilter/6.3.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 6.3.11.tiff, was processed into ../data/gaussFilter/6.3.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.01.tiff, was processed into ../data/gaussFilter/7.1.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.02.tiff, was processed into ../data/gaussFilter/7.1.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.03.tiff, was processed into ../data/gaussFilter/7.1.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.04.tiff, was processed into ../data/gaussFilter/7.1.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.05.tiff, was processed into ../data/gaussFilter/7.1.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.06.tiff, was processed into ../data/gaussFilter/7.1.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.07.tiff, was processed into ../data/gaussFilter/7.1.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.08.tiff, was processed into ../data/gaussFilter/7.1.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.09.tiff, was processed into ../data/gaussFilter/7.1.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.1.10.tiff, was processed into ../data/gaussFilter/7.1.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 7.2.01.tiff, was processed into ../data/gaussFilter/7.2.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, boat.512.tiff, was processed into ../data/gaussFilter/boat.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building1.png, was processed into ../data/gaussFilter/building1_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building2.png, was processed into ../data/gaussFilter/building2_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building3.png, was processed into ../data/gaussFilter/building3_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, gray21.512.tiff, was processed into ../data/gaussFilter/gray21.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.bmp, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.bmp, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.pgm, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.png, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, house.tiff, was processed into ../data/gaussFilter/house_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, Lena.pgm, was processed into ../data/gaussFilter/Lena_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion01.512.tiff, was processed into ../data/gaussFilter/motion01.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion02.512.tiff, was processed into ../data/gaussFilter/motion02.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion03.512.tiff, was processed into ../data/gaussFilter/motion03.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion04.512.tiff, was processed into ../data/gaussFilter/motion04.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion05.512.tiff, was processed into ../data/gaussFilter/motion05.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion06.512.tiff, was processed into ../data/gaussFilter/motion06.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion07.512.tiff, was processed into ../data/gaussFilter/motion07.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion08.512.tiff, was processed into ../data/gaussFilter/motion08.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion09.512.tiff, was processed into ../data/gaussFilter/motion09.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, motion10.512.tiff, was processed into ../data/gaussFilter/motion10.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, ruler.512.tiff, was processed into ../data/gaussFilter/ruler.512_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.pgm, was processed into ../data/gaussFilter/sloth_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.png, was processed into ../data/gaussFilter/sloth_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, th.jpeg, was processed into ../data/gaussFilter/th_gaussFilter.jpeg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, wash-ir.tiff, was processed into ../data/gaussFilter/wash-ir_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
